SET_SIZE, EXP_CONF, CONF, SUPPORT, LIFT, COUNT, RULE, _LHAND, _RHAND, ITEM1, ITEM2, ITEM3, ITEM4, ITEM5, index, Transpose
4,19.31,68.97,6.36,3.57,140, first & Yes ==> Female & Adult, first & Yes, Female & Adult, first, Yes, =====>, Female, Adult,1,0
4,9.22,32.94,6.36,3.57,140, Female & Adult ==> first & Yes, Female & Adult, first & Yes, Female, Adult, =====>, first, Yes,2,0
4,8.95,29.79,6.36,3.33,140, Female ==> first & Yes & Adult, Female, first & Yes & Adult, Female, =====>, first, Yes, Adult,3,0
4,21.35,71.07,6.36,3.33,140, first & Yes & Adult ==> Female, first & Yes & Adult, Female, first, Yes, Adult, =====>, Female,4,0
3,9.22,30,6.41,3.25,141, Female ==> first & Yes, Female, first & Yes, Female, =====>, first, Yes, ,5,0
3,21.35,69.46,6.41,3.25,141, first & Yes ==> Female, first & Yes, Female, first, Yes, =====>, Female, ,6,0
4,29.71,96.55,6.36,3.25,140, first & Female ==> Yes & Adult, first & Female, Yes & Adult, first, Female, =====>, Yes, Adult,7,0
4,6.59,21.41,6.36,3.25,140, Yes & Adult ==> first & Female, Yes & Adult, first & Female, Yes, Adult, =====>, first, Female,8,0
3,6.59,19.83,6.41,3.01,141, Yes ==> first & Female, Yes, first & Female, Yes, =====>, first, Female, ,9,0
3,32.3,97.24,6.41,3.01,141, first & Female ==> Yes, first & Female, Yes, first, Female, =====>, Yes, ,10,1
4,6.54,19.69,6.36,3.01,140, Yes ==> first & Female & Adult, Yes, first & Female & Adult, Yes, =====>, first, Female, Adult,11,0
4,32.3,97.22,6.36,3.01,140, first & Female & Adult ==> Yes, first & Female & Adult, Yes, first, Female, Adult, =====>, Yes,12,1
4,14.36,43.08,6.36,3,140, first ==> Yes & Female & Adult, first, Yes & Female & Adult, first, =====>, Yes, Female, Adult,13,0
4,14.77,44.3,6.36,3,140, Yes & Female & Adult ==> first, Yes & Female & Adult, first, Yes, Female, Adult, =====>, first,14,0
4,15.63,43.89,6.36,2.81,140, first & Adult ==> Yes & Female, first & Adult, Yes & Female, first, Adult, =====>, Yes, Female,15,0
4,14.49,40.7,6.36,2.81,140, Yes & Female ==> first & Adult, Yes & Female, first & Adult, Yes, Female, =====>, first, Adult,16,0
3,15.63,43.38,6.41,2.78,141, first ==> Yes & Female, first, Yes & Female, first, =====>, Yes, Female, ,17,0
3,14.77,40.99,6.41,2.78,141, Yes & Female ==> first, Yes & Female, first, Yes, Female, =====>, first, ,18,0
